q,atoms,attrs,lpbound,t_lp,pairs,t_p,lb,t_lb,truth,t_t,terr
dblp_query_dense_8_1,23,31,2032299411.1659622,0.854020357131958,2032299411.1659572,0.1602485179901123,,0.00012540817260742188,,4.76837158203125e-07,skipped
dblp_query_dense_8_10,22,30,1594624108.9839125,0.7285070419311523,1594624108.9839125,0.14550209045410156,,0.00010275840759277344,,4.76837158203125e-07,skipped
dblp_query_dense_8_100,21,29,3183434843.390807,0.7134628295898438,3183434843.390807,0.13545656204223633,,8.487701416015625e-05,,4.76837158203125e-07,skipped
dblp_query_dense_8_101,22,30,3085608926.7208657,0.7702538967132568,3085608926.720858,0.15412116050720215,,0.0001239776611328125,,4.76837158203125e-07,skipped
dblp_query_dense_8_102,21,29,711303409.4218103,0.7256033420562744,711303409.4218103,0.13602924346923828,,9.608268737792969e-05,,2.384185791015625e-07,skipped
dblp_query_dense_8_103,21,29,1341253342.7137885,0.7184598445892334,1341253342.7137918,0.1341259479522705,,9.250640869140625e-05,,2.384185791015625e-07,skipped
dblp_query_dense_8_104,36,44,907360868.8776777,1.5267415046691895,907360868.8776777,0.3576960563659668,,0.00024271011352539062,,4.76837158203125e-07,skipped
dblp_query_dense_8_105,21,29,824823827.6654867,0.6680450439453125,824823827.6654867,0.13718461990356445,,0.00013685226440429688,,9.5367431640625e-07,skipped
dblp_query_dense_8_106,22,30,1358638802.408543,0.7616620063781738,1358638802.408543,0.14884114265441895,,0.00011491775512695312,,4.76837158203125e-07,skipped
dblp_query_dense_8_107,28,36,971119198.7224907,1.1016640663146973,971119198.7224907,0.22928738594055176,,0.00011587142944335938,,4.76837158203125e-07,skipped
dblp_query_dense_8_108,22,30,1498025943.5258512,0.7843713760375977,1498025943.5258512,0.14802265167236328,,0.0001380443572998047,,4.76837158203125e-07,skipped
dblp_query_dense_8_109,21,29,752122664.2008611,0.7331669330596924,752122664.2008611,0.13728594779968262,,0.00013518333435058594,,2.384185791015625e-07,skipped
dblp_query_dense_8_11,22,30,1454468614.182074,0.7782986164093018,1454468614.182074,0.15532612800598145,,0.0001125335693359375,,2.384185791015625e-07,skipped
dblp_query_dense_8_110,21,29,1595505290.9458888,0.7286984920501709,1595505290.9458888,0.13525938987731934,,0.00010013580322265625,,2.384185791015625e-07,skipped
dblp_query_dense_8_111,36,44,891624148.5808682,1.5076375007629395,891624148.5808682,0.4138202667236328,,0.00023674964904785156,,4.76837158203125e-07,skipped
dblp_query_dense_8_112,22,30,2045740472.4425066,0.7142941951751709,2045740472.4425066,0.14662909507751465,,0.00011324882507324219,,2.384185791015625e-07,skipped
dblp_query_dense_8_113,22,30,938250492.1339787,0.7754073143005371,938250492.1339787,0.15001201629638672,,9.298324584960938e-05,,4.76837158203125e-07,skipped
dblp_query_dense_8_114,30,38,1831638361.0472724,1.234665870666504,1831638361.0472724,0.26144909858703613,,0.00020575523376464844,,2.384185791015625e-07,skipped
dblp_query_dense_8_115,26,34,809016436.326195,0.9136743545532227,809016436.326197,0.20052170753479004,,0.00010895729064941406,,4.76837158203125e-07,skipped
dblp_query_dense_8_116,30,38,5652789955.892458,1.1029515266418457,5652789955.892458,0.2659773826599121,,0.0001888275146484375,,4.76837158203125e-07,skipped
dblp_query_dense_8_117,21,29,585649605.7049735,0.6659433841705322,585649605.7049735,0.13442134857177734,,8.726119995117188e-05,,2.384185791015625e-07,skipped
dblp_query_dense_8_118,30,38,1536954165.8458052,1.1015253067016602,1536954165.8458052,0.2621116638183594,,0.00018978118896484375,,2.384185791015625e-07,skipped
dblp_query_dense_8_119,22,30,1216374628.447669,0.7250471115112305,1216374628.447669,0.14948058128356934,,0.00011992454528808594,,2.384185791015625e-07,skipped
dblp_query_dense_8_12,23,31,851730714.6420603,0.7558822631835938,851730714.6420603,0.1693861484527588,,0.00010704994201660156,,4.76837158203125e-07,skipped
dblp_query_dense_8_120,21,29,1466774834.0470397,0.6681864261627197,1466774834.0470397,0.13875460624694824,,8.749961853027344e-05,,4.76837158203125e-07,skipped
dblp_query_dense_8_121,24,32,1677062596.606237,0.8257684707641602,1677062596.606233,0.17784833908081055,,0.00013256072998046875,,4.76837158203125e-07,skipped
dblp_query_dense_8_122,27,35,1400669934.37721,0.9829206466674805,1400669934.37721,0.22019648551940918,,0.00018739700317382812,,4.76837158203125e-07,skipped
dblp_query_dense_8_123,22,30,1353609143.8051355,0.8086585998535156,1353609143.8051422,0.1472764015197754,,0.00011372566223144531,,7.152557373046875e-07,skipped
dblp_query_dense_8_124,24,32,2866191401.5819707,0.832862377166748,2866191401.5819707,0.1785578727722168,,0.00010609626770019531,,2.384185791015625e-07,skipped
dblp_query_dense_8_125,26,34,1077693987.6130579,0.9588727951049805,1077693987.6130579,0.21271920204162598,,0.00014925003051757812,,4.76837158203125e-07,skipped
