q,atoms,attrs,lpbound,t_lp,pairs,t_p,lb,t_lb,truth,t_t,terr
jobjoin.1,5,8,7720507.847479362,2.2586159706115723,4072284.999999998,1.3432552814483645,,2.813339233398437e-05,4071865.0,0.1339397430419922,
jobjoin.2,5,8,61407985.13825768,5.136106967926025,34859097.999999925,2.088808059692383,,2.789497375488281e-05,34857292.0,0.1725311279296875,
jobjoin.3,4,6,360492972.634696,5.415146589279175,222180018.9999994,2.054774522781372,222172891.0,2.7895283699035645,222172891.0,0.3475780487060547,
jobjoin.4,5,8,16219594.070239777,4.072389841079712,10424625.999999983,1.681046485900879,,3.075599670410156e-05,10423684.0,0.0912976264953613,
jobjoin.5,5,8,84497382.38108096,7.657860040664673,64151116.99999999,3.4507226943969727,,3.0517578125e-05,64148710.0,0.2354910373687744,
jobjoin.6,5,8,521051967.2990664,34.76312041282654,215700852.99999976,13.043486595153809,,3.075599670410156e-05,215691766.0,0.7257072925567627,
jobjoin.7,8,12,482182222.2659391,76.48862266540527,21408.74581164314,21.10518884658813,,7.414817810058594e-05,0.0,0.0693767070770263,
jobjoin.8,7,11,1570389754.8129697,108.2554099559784,1262257013.8944893,40.35959196090698,,7.200241088867188e-05,87188313.0,0.7266499996185303,
jobjoin.9,8,13,1570389754.8129811,378.5447051525116,1262257013.8944893,119.10364031791688,,9.989738464355467e-05,46597648.0,0.6410720348358154,
jobjoin.10,7,12,139581102.4382746,112.8600046634674,80241321.00000001,59.348686933517456,,4.2438507080078125e-05,36590720.0,0.3653891086578369,
jobjoin.11,8,13,484696983.7108144,8.170297384262085,27090047.99999995,3.0688016414642334,,3.790855407714844e-05,4134110.0,0.140866994857788,
jobjoin.12,8,13,311799953.7943025,12.46226716041565,256604468.0,5.069512367248535,,4.506111145019531e-05,167894647.0,0.4385466575622558,
jobjoin.13,9,15,311799953.7943025,12.746420860290527,256604468.0,5.662910223007202,,3.409385681152344e-05,167894647.0,0.4314260482788086,
jobjoin.14,8,13,1441971890.538784,11.263096570968628,888720075.9999998,4.783790111541748,,3.4809112548828125e-05,655864789.0,0.9028289318084716,
jobjoin.15,9,14,121995477344.51157,13.551724672317505,121995477344.51157,5.84308123588562,,6.532669067382812e-05,15908351375.0,0.0036306381225585,
jobjoin.16,8,12,266228780087.5355,59.69835352897644,265004750020.1852,22.74128222465515,,5.197525024414063e-05,3183902499.0,11.784467697143556,
jobjoin.17,7,11,10023081242.371964,32.51921725273132,8523245090.113214,11.825313091278076,,4.38690185546875e-05,3100469151.0,9.63075065612793,
jobjoin.18,7,11,2711584886.472109,35.490952253341675,1763711260.0000014,12.753434419631958,,4.506111145019531e-05,1063774128.0,2.970564842224121,
jobjoin.19,10,16,438596776867.03296,288.2129490375519,438596776867.03296,119.22069358825684,,5.173683166503906e-05,2942217698.0,10.789122581481934,
jobjoin.20,10,17,941134670.0957416,120.7463219165802,431401705.99999845,63.86829113960266,,4.1961669921875e-05,82227027.0,0.477910041809082,
jobjoin.21,9,14,338852889522.9405,9.289912939071655,39283620840.00009,3.9242794513702393,,4.029273986816406e-05,725262952.0,2.192598342895508,
jobjoin.22,11,18,40880627999.85578,15.719712734222412,35671565728.694336,6.876973867416382,,4.673004150390625e-05,14166527885.0,11.409663915634155,
jobjoin.23,11,18,20440313999.92789,15.74407148361206,17835782864.347168,6.536094665527344,,4.744529724121094e-05,5160857017.0,5.226470232009888,
jobjoin.24,12,19,137106403283786.12,292.5080156326294,137106403283786.12,120.06381273269652,,7.724761962890625e-05,,124.010085105896,timeout
jobjoin.25,9,14,342422525658.0308,39.87604808807373,322691443398.9653,13.721052408218384,,0.0002944469451904,73866519137.0,55.24604153633118,
jobjoin.26,12,20,3582671179.292258,121.58026456832886,1725606823.9999938,64.44734525680542,,4.839897155761719e-05,248357252.0,0.809833288192749,
jobjoin.27,12,19,677705779045.8811,9.420384883880615,78567241680.00018,4.087333679199219,,4.9591064453125e-05,145625463.0,1.194779634475708,
jobjoin.28,14,23,81761255999.71156,15.526269435882568,71343131457.38867,7.061558723449707,,5.435943603515625e-05,16411948858.0,21.631718158721924,
jobjoin.29,12,19,684845051316.0615,36.23638939857483,645382886797.9305,13.907002210617064,,8.034706115722656e-05,80073407220.0,112.94240999221802,
jobjoin.30,6,10,9420662.122366823,4.469630241394043,288191.99999999977,1.8692009449005127,,3.24249267578125e-05,287488.0,0.0972678661346435,
jobjoin.31,14,23,846197707.0559732,8.320607900619507,173343079.64145452,4.145102739334106,,6.151199340820312e-05,7888785.0,0.2507510185241699,
