q,atoms,attrs,lpbound,t_lp,pairs,t_p,lb,t_lb,truth,t_t
joblight.1,3,4,7017.482694171114,1.0628125667572021,715.0000000000003,0.6376004219055176,715,1.254345417022705,715,0.014583110809326172
joblight.2,3,4,564.0440243443227,0.4560728073120117,22.0,0.3367140293121338,9,0.3885784149169922,9,0.01704692840576172
joblight.3,3,4,7017.482694171114,0.45826244354248047,652.6164242403252,0.2960178852081299,47,0.31831955909729004,47,0.014572381973266602
joblight.4,3,4,564.0440243443227,0.7638797760009766,22.0,0.4733257293701172,16,0.8174312114715576,16,0.014902114868164062
joblight.5,3,4,734009.4793514925,1.2704334259033203,148516.00000000012,0.7244212627410889,148457,1.1925559043884277,148502,0.02904534339904785
joblight.6,3,4,360492972.634696,2.4517104625701904,222180018.99999994,1.0487093925476074,2889229,0.9772725105285645,59815636,0.21947503089904785
joblight.7,3,4,360492972.634696,2.1981122493743896,153327649.1218099,0.9271492958068848,697040,0.672529935836792,11506948,0.0982060432434082
joblight.8,3,4,360492972.634696,2.667738676071167,222180018.99999994,1.197934627532959,6386322,1.3799107074737549,148478194,0.25855374336242676
joblight.9,3,4,4523930.000000002,0.8253414630889893,1252943.0000000005,0.4385659694671631,850543,0.6112518310546875,850543,0.03273963928222656
joblight.10,3,4,4523929.999999991,0.5975148677825928,299534.0000000003,0.31876230239868164,179616,0.32380032539367676,179616,0.03526568412780762
joblight.11,3,4,4523930.000000002,1.0564594268798828,2742429.999999999,0.5749235153198242,2031459,0.912208080291748,2031459,0.059183359146118164
joblight.12,3,4,37544276.41620356,2.278113842010498,18761583.999999985,1.0754716396331787,3003510,1.0332186222076416,6139937,0.12243962287902832
joblight.13,3,4,37544276.41620356,2.1592233180999756,18761583.999999985,0.9412384033203125,994782,0.6703383922576904,1881424,0.061409950256347656
joblight.14,3,4,37544276.41620356,2.5160319805145264,18761583.999999985,1.306117296218872,5727216,1.4496111869812012,12241113,0.14933514595031738
joblight.15,3,4,17516.961585289944,7.911802291870117,1242.0000000000007,1.152653455734253,1224,0.8704562187194824,1224,0.04929637908935547
joblight.16,3,4,80499625.35151994,7.736562967300415,1673460.0000000014,1.2530207633972168,2213,0.8094513416290283,13221,0.04667234420776367
joblight.17,3,4,17516.961585289944,7.37981104850769,1242.0000000000007,1.0697309970855713,33,0.7146096229553223,33,0.03642892837524414
