q,atoms,attrs,lpbound,t_lp,pairs,t_p,lb,t_lb,truth,t_t,terr
jobrange.1,3,4,434762.6506880013,0.6236696243286133,25819.999999999993,0.34026193618774414,6381,0.20839548110961914,11637.0,0.040868520736694336,
jobrange.2,3,4,26440.528053484475,0.5145165920257568,534.0000000000002,0.24916553497314453,383,0.1627039909362793,383.0,0.04642057418823242,
jobrange.3,3,4,2873656.3467466733,0.63287353515625,286691.9999999997,0.2855679988861084,58480,0.2323625087738037,79014.0,0.043409109115600586,
jobrange.4,3,4,410094.5912591393,0.5652318000793457,10465.000000000016,0.2672557830810547,6156,0.1824171543121338,6156.0,0.09048581123352051,
jobrange.5,3,4,3731634.496211545,0.6597678661346436,184495.9999999998,0.39334774017333984,48763,0.27408528327941895,91755.0,0.06630110740661621,
jobrange.6,3,4,1143219.5482167895,0.5882091522216797,463087.0,0.4117765426635742,266201,0.48294758796691895,266201.0,0.06497550010681152,
jobrange.7,3,4,1273996.999999996,0.7029976844787598,431452.00000000035,0.35344815254211426,293122,0.3808443546295166,293122.0,0.06718993186950684,
jobrange.8,3,4,476298.82655744685,0.5544939041137695,30619.999999999996,0.2684142589569092,3014,0.1843407154083252,3014.0,0.046640872955322266,
jobrange.9,3,4,1170452.1097788499,0.5892393589019775,58887.99999999997,0.2796947956085205,19593,0.19004559516906738,37797.0,0.045502424240112305,
jobrange.10,3,4,1214575.335248913,0.5897958278656006,214917.9999999999,0.2896311283111572,154242,0.2546839714050293,154242.0,0.05005335807800293,
jobrange.11,3,4,449554.6134086842,0.4051804542541504,98165.0000000001,0.31407690048217773,50805,0.2256464958190918,50805.0,0.0419621467590332,
jobrange.12,3,4,365.09959789241003,0.7431790828704834,33.99999999999999,0.3511192798614502,33,0.22388815879821777,33.0,0.047708749771118164,
jobrange.13,3,4,90.0,0.5664324760437012,2.0,0.26102328300476074,2,0.16325998306274414,2.0,0.050815582275390625,
jobrange.14,3,4,48366.258770667686,0.5276892185211182,1063.9999999999995,0.25937795639038086,711,0.1677393913269043,711.0,0.05352663993835449,
jobrange.15,3,4,2352678.710695964,0.7160675525665283,214021.00000000067,0.4444766044616699,74451,0.3850860595703125,74451.0,0.06951284408569336,
jobrange.16,3,4,907308.8228784073,0.45511507987976074,282425.00000000023,0.3359346389770508,158426,0.3129234313964844,158426.0,0.062430620193481445,
jobrange.17,3,4,56005.59488849303,0.4843888282775879,1293.0000000000007,0.23846673965454102,372,0.1453096866607666,372.0,0.05662965774536133,
jobrange.18,3,4,80828.53538223938,0.48371434211730957,3563.999999999997,0.23934173583984375,2349,0.14840197563171387,2349.0,0.04482078552246094,
jobrange.19,3,4,421136.6117372832,0.5643448829650879,77354.00000000001,0.2828805446624756,36815,0.19619321823120117,36815.0,0.04779767990112305,
jobrange.20,3,4,1219338.9957970108,0.5617241859436035,20163.999999999978,0.2517521381378174,6165,0.16738629341125488,9549.0,0.052884817123413086,
jobrange.21,3,4,145133.12775135375,0.5381879806518555,12593.999999999955,0.26926398277282715,5380,0.16386961936950684,5380.0,0.05086565017700195,
jobrange.22,3,4,54665.58745873207,0.5774264335632324,2076.000000000001,0.27978968620300293,642,0.17096257209777832,828.0,0.0303342342376709,
jobrange.23,3,4,227846.77016693164,0.31775712966918945,12371.0,0.23635101318359375,11091,0.1545729637145996,11091.0,0.05574512481689453,
jobrange.24,3,4,1273996.999999996,0.40610694885253906,184381.99999999945,0.28717827796936035,142266,0.26282763481140137,142266.0,0.0687551498413086,
jobrange.25,3,4,774.2214466988063,0.48754334449768066,7.0,0.24384427070617676,7,0.1468961238861084,7.0,0.04960775375366211,
jobrange.26,3,4,94.00000000000001,0.7155404090881348,3.0,0.33081912994384766,3,0.2046971321105957,3.0,0.04609036445617676,
jobrange.27,3,4,2416.6045552147243,0.7776625156402588,50.999999999999986,0.34755373001098633,5,0.21803545951843262,9.0,0.02989983558654785,
jobrange.28,3,4,90.0,0.5240721702575684,6.0,0.24624252319335938,6,0.1559314727783203,6.0,0.04681110382080078,
jobrange.29,3,4,289732.90786767966,0.5361108779907227,15158.99999999999,0.2487654685974121,12368,0.16357874870300293,12368.0,0.04642963409423828,
jobrange.30,3,4,7122.483947591399,0.605703592300415,261.00000000000006,0.2976393699645996,128,0.1834561824798584,128.0,0.04309368133544922,
jobrange.31,3,4,1028533.0664987704,0.6505353450775146,139599.99999999994,0.29807138442993164,21884,0.19974255561828613,27744.0,0.06724882125854492,
jobrange.32,3,4,119398.89105561838,0.6339666843414307,6544.000000000002,0.29373764991760254,1993,0.18483948707580566,2559.0,0.031601667404174805,
jobrange.33,3,4,1200230.4574114284,0.5481297969818115,225484.0000000002,0.3984043598175049,66191,0.20417571067810059,88587.0,0.036809682846069336,
jobrange.34,3,4,3168203.81997775,0.8778421878814697,410443.9999999997,0.3434329032897949,90205,0.27275848388671875,163797.0,0.05232691764831543,
jobrange.35,3,4,1062327.8023919924,0.5898423194885254,160858.9999999996,0.27936649322509766,112017,0.23949837684631348,112017.0,0.05024099349975586,
jobrange.36,3,4,31395.71262575091,0.6426727771759033,2007.9999999999975,0.2735452651977539,1110,0.17001914978027344,1110.0,0.059902191162109375,
jobrange.37,3,4,644725.6587502159,0.7044358253479004,76876.00000000006,0.2908756732940674,22552,0.2067568302154541,30984.0,0.048247337341308594,
jobrange.38,3,4,468715.7723610339,0.517827033996582,9820.999999999995,0.24048566818237305,6301,0.21222877502441406,6301.0,0.1352553367614746,
jobrange.39,3,4,1273996.999999996,1.1886012554168701,385495.00000000047,0.3717072010040283,274531,0.42449402809143066,274531.0,0.08506631851196289,
jobrange.40,3,4,1213997.3843629188,0.7129945755004883,185472.00000000006,0.34426212310791016,152803,0.3295607566833496,152803.0,0.07195615768432617,
jobrange.41,3,4,1273996.999999996,0.7229368686676025,263848.0000000003,0.3511085510253906,168740,0.34571170806884766,168740.0,0.0711667537689209,
jobrange.42,3,4,800412.6122444615,0.44788265228271484,95949.99999999996,0.3375277519226074,57824,0.23168015480041504,57824.0,0.03992128372192383,
jobrange.43,3,4,214648.16294949572,0.5360457897186279,26123.99999999997,0.2651803493499756,13480,0.1663057804107666,13480.0,0.05650591850280762,
jobrange.44,3,4,1273996.999999996,0.43340277671813965,357277.0000000011,0.30875372886657715,296224,0.3143656253814697,296224.0,0.07148385047912598,
jobrange.45,3,4,1129858.0719085918,0.8715512752532959,372829.00000000023,0.45067882537841797,141801,0.5004978179931641,141801.0,0.07959198951721191,
jobrange.46,3,4,644127.3817188661,0.49964380264282227,65850.99999999981,0.31162238121032715,39336,0.23876428604125977,39336.0,0.07059478759765625,
jobrange.47,3,4,78595.76432676899,0.385089635848999,4330.999999999999,0.30176830291748047,3525,0.19867515563964844,3525.0,0.061441898345947266,
jobrange.48,3,4,566289.2355738811,0.6860940456390381,16952.0,0.3022928237915039,3447,0.21706271171569824,4509.0,0.035398244857788086,
jobrange.49,3,4,1009846.9946977134,0.7232363224029541,52631.000000000015,0.323214054107666,28285,0.21861624717712402,28285.0,0.06615757942199707,
jobrange.50,3,4,359.9999999999998,0.538398027420044,3.0,0.24016022682189941,3,0.1518111228942871,3.0,0.03592395782470703,
jobrange.51,3,4,445223.9857420094,0.35122036933898926,23168.999999999964,0.31481313705444336,18600,0.21709060668945312,18600.0,0.06888484954833984,
jobrange.52,3,4,2100506.8024740713,0.5674049854278564,110247.99999999996,0.24680542945861816,25095,0.17080926895141602,32097.0,0.0661919116973877,
jobrange.53,3,4,351092.30848252354,0.3613896369934082,3056.000000000002,0.31185126304626465,935,0.218947172164917,1641.0,0.06831049919128418,
jobrange.54,3,4,67380.10516719411,0.6895017623901367,5224.000000000009,0.32894206047058105,3476,0.21932387351989746,3476.0,0.05366683006286621,
jobrange.55,3,4,1273996.999999996,0.6813576221466064,128897.00000000012,0.42212510108947754,55254,0.4938845634460449,55254.0,0.06413149833679199,
jobrange.56,3,4,25576.467129304165,0.9929258823394775,4173.0,0.3323695659637451,1286,0.29467248916625977,1286.0,0.05537271499633789,
jobrange.57,3,4,139895.56020274418,0.8205490112304688,42959.99999999998,0.32586216926574707,16300,0.429368257522583,16313.0,0.13095521926879883,
jobrange.58,3,4,1379.5690366153392,0.49887824058532715,39.00000000000001,0.17895793914794922,23,0.13320541381835938,23.0,0.04116535186767578,
jobrange.59,3,4,7551.807369818132,0.4255063533782959,180.0,0.14979076385498047,26,0.11231064796447754,26.0,0.04434823989868164,
jobrange.60,3,4,2103.776456806159,0.6494638919830322,308.0000000000001,0.2624659538269043,188,0.22760534286499023,188.0,0.03993940353393555,
jobrange.61,3,4,3628.1156096046825,0.5222001075744629,71.99999999999999,0.17648530006408691,14,0.13119220733642578,14.0,0.042299747467041016,
jobrange.62,3,4,12627474.415260097,1.2016632556915283,906601.404397658,0.4309043884277344,21977,0.28789591789245605,76294.0,0.05689835548400879,
jobrange.63,3,4,17216453.09917271,1.0044598579406738,305993.9324548411,0.2930145263671875,3811,0.19254350662231445,14522.0,0.04683947563171387,
jobrange.64,3,4,34671.51818943486,0.45624375343322754,3396.8198125246718,0.18531394004821777,300,0.1685962677001953,300.0,0.056493282318115234,
jobrange.65,3,4,23521.72073190696,0.5222911834716797,5955.000000000002,0.33257174491882324,5530,0.4449758529663086,5577.0,0.1076962947845459,
jobrange.66,3,4,13034.72848312012,0.4630012512207031,90.0,0.1844489574432373,13,0.13747835159301758,13.0,0.03172445297241211,
jobrange.67,3,4,1138.0631534445495,0.38603663444519043,16.999999999999996,0.13324666023254395,10,0.09439611434936523,10.0,0.055031538009643555,
jobrange.68,3,4,92558.13811095929,0.4019293785095215,1805.41423601386,0.14966464042663574,174,0.10343194007873535,174.0,0.04761457443237305,
jobrange.69,3,4,13766.99855040051,0.4254946708679199,1764.9999999999998,0.15618491172790527,341,0.12862825393676758,341.0,0.04294943809509277,
jobrange.70,3,4,36678.42916930304,0.366471529006958,4760.000000000002,0.23197031021118164,2374,0.2334451675415039,2375.0,0.07424807548522949,
jobrange.71,3,4,26172.943250372824,0.5089442729949951,2301.7354015969067,0.20662426948547363,76,0.16486024856567383,76.0,0.0732269287109375,
jobrange.72,3,4,30230.34760761929,0.6201663017272949,6815.000000000001,0.27725768089294434,2601,0.3778553009033203,2601.0,0.11266064643859863,
jobrange.73,3,4,2489277.269803159,0.9786889553070068,106380.00000000015,0.390181303024292,1467,0.269273042678833,15764.0,0.03552961349487305,
jobrange.74,3,4,34634.376765065186,0.6518259048461914,5612.999999999999,0.2613248825073242,3025,0.28913259506225586,3025.0,0.08227825164794922,
jobrange.75,3,4,36761.335860105086,0.48909640312194824,12828.999999999998,0.1893932819366455,4475,0.1885848045349121,4475.0,0.055094242095947266,
jobrange.76,3,4,25774.639509975685,0.67734694480896,3444.9999999999986,0.28079652786254883,1089,0.27710866928100586,1089.0,0.03382563591003418,
jobrange.77,3,4,261.9837334124459,0.39472436904907227,4.999999999999999,0.1468825340270996,4,0.09513235092163086,4.0,0.031366586685180664,
jobrange.78,3,4,54832.56042153923,0.59012770652771,2834.7548614726534,0.23089599609375,645,0.1451098918914795,645.0,0.03334164619445801,
jobrange.79,3,4,44214.93182429447,0.4847147464752197,7508.999999999999,0.18694567680358887,1145,0.1765127182006836,1145.0,0.05121159553527832,
jobrange.80,3,4,14949.125910200746,0.5767858028411865,94.00000000000001,0.21725964546203613,29,0.13623833656311035,29.0,0.03306770324707031,
jobrange.81,3,4,8264.259387784054,0.5667707920074463,488.8789330395918,0.2048640251159668,82,0.18203258514404297,82.0,0.05076122283935547,
jobrange.82,3,4,1014113.7418129479,0.9671969413757324,23180.00000000005,0.3925745487213135,417,0.26484036445617676,4577.0,0.030179977416992188,
