q,truth,lpbound,pairs,triples,lb,atoms,attrs,t_lp,t_p,t_tr,t_lb,t_t,terr
stats.1,79851.0,79851.0,79851.0,79851.0,79851.0,,,,,,,,
stats.2,10220614.0,14326997.0,10220614.0,10220614.0,10220614.0,,,,,,,,
stats.3,1458075.0,8157256.0,1458075.0,1458075.0,1458075.0,,,,,,,,
stats.4,1709781.0,12847933.0,1709781.0,1709781.0,1709781.0,,,,,,,,
stats.5,7491903.0,21413629.0,7491903.0,7491903.0,7491903.0,,,,,,,,
stats.6,428612.0,858469.0,428612.0,428612.0,428612.0,,,,,,,,
stats.7,699302.0,105871626.0,105681168.0,699302.0,484825.0,,,,,,,,
stats.8,481420.0,57306889.0,57231076.0,481420.0,332686.0,,,,,,,,
stats.9,698213.0,1209645.0,704085.0,698213.0,313115.0,,,,,,,,
stats.10,780683.0,4518812.0,780683.0,780683.0,780683.0,,,,,,,,
stats.11,326559.0,7404152.0,1227386.0,326559.0,326559.0,,,,,,,,
stats.12,1018612.0,334235993.0,263105194.0,1018612.0,136423.0,,,,,,,,
stats.13,315516.0,34189002.0,10984892.0,315516.0,40967.0,,,,,,,,
stats.14,200.0,1233942.0,447953.0,200.0,200.0,,,,,,,,
stats.15,10223864.0,14309759.0,10223864.0,10223864.0,178164.0,,,,,,,,
stats.16,245567.0,14315602.0,10234398.0,245567.0,69142.0,,,,,,,,
stats.17,70752.0,734784.0,424352.0,70752.0,70752.0,,,,,,,,
stats.18,63500.0,125441.0,63543.0,63500.0,45973.0,,,,,,,,
stats.19,10895.0,11102.0,11050.0,10895.0,10895.0,,,,,,,,
stats.20,251068.0,293788.0,291926.0,251068.0,251068.0,,,,,,,,
stats.21,26836.0,327888.0,31965.0,26836.0,26836.0,,,,,,,,
stats.22,2488080.0,7071464.0,2704241.0,2488080.0,2488080.0,,,,,,,,
stats.23,144017.0,2302933.0,1056687.0,144017.0,31812.0,,,,,,,,
stats.24,4582.0,69024.0,29072.0,4582.0,3310.0,,,,,,,,
