q,m,K,truth,truth_mc,holder,mc_uni,mc_pairs,mc_tri,lpbound,epairs,etriples
stats.1,2,97,79851.0,79851.0,90248.2308296012,79851.0,79851.0,,79851.0,79851.0,79851.0
stats.2,2,998,10220614.0,10220614.0,11550708.877882164,14326173.706954056,10220614.0,,14326997.0,10220614.0,10220614.0
stats.3,2,957,1458075.0,1458075.0,6459443.940023299,8157120.600095899,1458075.0,,8157256.0,1458075.0,1458075.0
stats.4,2,1004,1709781.0,1709781.0,9885909.063772386,12847931.684756229,1709781.0,,12847933.0,1709781.0,1709781.0
stats.5,2,991,7491903.0,7491903.0,18621637.029093616,21413628.700213816,7491903.0,,21413629.0,7491903.0,7491903.0
stats.6,2,651,428612.0,428612.0,858468.9881271193,858468.9580741143,428612.0,,858469.0,428612.0,428612.0
stats.9,3,415,698213.0,698213.0,1322533.3082436882,1206223.460947503,704085.0,698213.0,1209645.0,704085.0,698213.0
stats.10,3,716,780683.0,780683.0,7029217.353877393,4516356.997331358,780683.0000000001,780683.0,4518812.0,780683.0,780683.0
stats.11,3,1131,326559.0,326559.0,12981144.10534235,7404117.368222327,1227386.0,326559.0,7404152.0,1227386.0,326559.0
stats.12,3,1948,1018612.0,1018612.0,744124667.6771101,334232104.36229503,263105194.00001025,1018612.0,334235993.0,263105194.0,1018612.0
stats.13,3,1105,315516.0,315516.0,63107512.05240896,34188867.58714308,10984892.0,315516.0,34189002.0,10984892.0,315516.0
stats.14,3,454,200.0,200.0,2138607.397691724,1233571.219664789,447952.9999999999,200.0,1233942.0,447953.0,200.0
stats.15,3,995,10223864.0,10223864.0,24799014.09883285,14309001.017914362,10223864.0,10223864.0,14309759.0,10223864.0,10223864.0
stats.16,3,1244,245567.0,245567.0,24677614.3161955,14314846.433508197,10234398.0,245567.0,14315602.0,10234398.0,245567.0
stats.18,3,148,63500.0,63500.0,160805.45275967702,125041.61472300383,63543.00000000001,63500.0,125441.0,63543.0,63500.0
stats.22,3,961,2488080.0,2488080.0,13582517.133187024,7071462.569531129,2704241.0,2488079.9999999995,7071464.0,2704241.0,2488080.0
stats.23,3,933,144017.0,144017.0,4098535.4934142656,2302933.133617816,1056687.0,144017.0,2302933.0,1056687.0,144017.0
stats.24,3,280,4582.0,4582.0,122841.37089617433,69023.34335038363,29072.0,4582.0,69024.0,29072.0,4582.0
stats.25,4,1675,176191.0,176191.0,6009486.386181153,4008075.0307509736,1520595.038991941,176221.0,4015250.0,1522867.0,176221.0
stats.27,4,1547,42036.0,42036.0,1302912398.4682052,529914581.59074265,403559832.81127006,4281080.0,540682314.0619711,407139593.26741904,1072030.4591101876
stats.30,4,1724,232039659.0,232039659.0,1442470276.5909271,622338543.152289,448681464.38560027,232039659.0,624134946.4993646,469607723.4490332,232039659.0000003
stats.31,4,1962,6672465.0,6672465.0,453937278.2950605,197975772.9809613,133670720.03319798,19383482.0,198098200.70564243,139667370.9423575,19383482.00000004
stats.32,4,2928,19402569.0,19402569.0,354020952572.7329,140921771200.6812,78329113664.0,1451676152.0,144158053178.66336,78329113664.00012,438609960.126236
stats.33,4,2178,6299.0,6299.0,15928460934.453176,6488624947.35748,3560516181.4423885,1464200.0000000002,6725165395.764189,3701504921.000001,88000.00000000006
stats.34,4,1408,593169291.0,593169291.0,4485911765.961613,1790895094.4509215,1003828368.0,596251188.0,1799049315.4970376,1003828368.0000015,596251188.0000001
stats.35,4,1362,3169724.0,3169724.0,513708989.72109896,207510348.6261436,142221711.8328767,32239200.0,211553138.23894668,150431404.60850146,32239199.99999997
stats.36,4,1454,52313.0,52313.0,507979731.3958913,204013925.20971203,140704296.58314213,1917024.0,207937126.8347541,149284225.0173686,1887682.9824056744
stats.37,4,6538,1633681.0,1633681.0,94972936.2998126,92524390.11179374,59399298.58928553,9050912.000000002,92710990.5688686,60063354.37817431,9050912.000000007
stats.38,4,2359,105742741.0,105742741.0,4325125323.372621,1703517930.78541,644640291.0,105742741.0,1790602095.8878326,644640291.0,105742741.0000001
stats.39,4,2472,2034610.0,2034610.0,70897094590.18736,28112639543.49055,25788904225.77695,88590312.0,28940234727.27039,27106093516.828304,75151761.19752464
stats.43,4,1700,7661811.0,7661811.0,1210345864.258438,515372584.5430324,358973304.8501605,58846511.0,518645059.2736548,378476341.54999,58846511.000000015
stats.44,4,2333,2101105.0,2101105.0,2057736252.884263,884645164.0429609,470787858.447625,50767486.0,896961125.1363728,509451971.6386882,50767485.99999996
stats.45,4,2182,6272.0,6272.0,2362312764.618613,1501591960.179038,423315816.0,584823.0,1503127509.4019914,423315815.9999994,138974.37317721563
stats.80,3,1082,1459345.0,1459345.0,21404624.048200067,12656649.593938556,1659782.9999999998,1459344.9999999998,12656840.232545229,1659782.9999999974,1459344.9999999995
stats.81,3,690,657592.0,657592.0,5054346.608688427,3265961.084361892,657592.0,657592.0,3265967.2928180126,657592.0,657592.0
stats.82,3,1756,1771584.0,1771584.0,742993396.1199324,332571094.9720987,260852417.0,1771584.0,332575529.1632429,260852417.0000001,1771584.0000000016
stats.83,3,1661,2323452.0,2323452.0,747567374.1631231,334232104.36229503,263105194.0000001,2323452.0,334235993.3978545,263105194.00000024,2323451.9999999977
stats.84,3,1034,10993951.0,10993951.0,62981760.3331141,34111583.30624839,10993960.0,10993951.0,34111717.62303597,10993959.99999999,10993950.99999999
stats.85,3,1090,10862842.0,10862842.0,62614495.07385636,34199807.051293574,11029918.0,10862842.0,34200029.23820633,11029917.999999989,10862841.999999989
stats.87,3,1108,758411.0,758411.0,38290993.25782245,22875211.044250373,15796144.0,758410.9999999999,22876248.882404383,15796143.999999989,758410.9999999997
stats.88,3,995,10223864.0,10223864.0,24799014.09883285,14309001.017914362,10223864.0,10223864.0,14309759.261144187,10223863.999999998,10223863.999999998
stats.89,3,1370,1356723.0,1356723.0,147109523.19810662,69802119.10003044,54725800.00000001,1356723.0,69802128.27989739,54725800.00000002,1356722.999999999
stats.90,3,934,582617.0,582617.0,6798395.695670525,4272236.447937132,1008487.0,582617.0,4272236.914127297,1008486.9999999992,582616.9999999998
stats.91,3,1254,4197329.0,4197329.0,145253188.81731653,68811685.64770006,54200975.0,4197329.0,68811777.63361304,54200975.000000045,4197328.999999995
stats.93,3,707,2162683.0,2162683.0,12334021.321067484,6412840.229586724,2162683.0,2162683.0,6412840.402036516,2162683.0000000005,2162683.0000000005
stats.94,3,1052,1100297.0,1100297.0,13717470.201149551,7160332.717045069,2737086.0000000005,1100297.0,7160333.014354005,2737086.000000003,1100296.9999999995
stats.95,4,4232,4254157.0,4254157.0,34109531.21233011,22781396.34973213,16243877.720745437,4254157.0,22790890.39243792,16254615.58543117,4254157.000000004
stats.96,4,3320,2016238.0,2016238.0,20257783.0143251,14408090.02150822,8702826.38931628,2016238.0,14414017.6839122,8705936.11108848,2016237.999999998
stats.97,4,1756,56359398.0,56359398.0,3597089006.70512,1466314667.4457123,558123272.0,70306921.00000006,1487720720.8003342,558123272.0000014,70306921.00000021
stats.98,4,2283,40855663.0,40855663.0,11454676804.51736,4551026762.958606,1272719224.0,130041679.19053836,4724981591.561106,1272719224.0000024,129983957.0
stats.99,4,2183,1490297.0,1490297.0,7041548298.732623,2815943105.687279,1038253352.0,33072150.0,2965089605.448931,1038253351.9999998,33072149.99999997
stats.103,4,1869,3778084.0,3778084.0,497933127.22213024,216768084.1161177,145603857.3910518,22611584.0,217304036.17601508,152324823.39778727,22611583.99999995
stats.104,4,3067,11075893.0,11075893.0,390285559958.6267,155183309200.58865,80263920700.0,1026025140.0,160233542237.14877,80263920700.00017,272665967.5097037
stats.105,4,2880,183537163.0,183537163.0,246547502928.3109,97016224632.2,54706070006.0,4019345376.0,101069886675.7073,54706070006.00007,3158533020.128136
stats.106,4,2590,569476.0,569476.0,77242344346.20804,31103267811.33285,17566976328.0,79400816.0,31529323479.91204,17566976328.0,25548513.22797824
stats.107,4,1321,537352263.0,537352263.0,4328216569.508413,1725900194.7739837,,537352263.0,1731330988.257666,930971033.9999976,537352263.0000006
stats.108,4,1408,593169291.0,593169291.0,4485911765.961613,1790895094.4509215,1003828368.0,596251188.0,1799049315.4970376,1003828368.0000015,596251187.9999987
stats.113,4,3596,18382871.0,18382871.0,244445058166.04907,95817922252.0608,91612727451.9764,649032096.0,98871161243.73528,95530822396.6576,603106077.7639551
stats.114,4,2690,19424781.0,19424781.0,46262154259.78082,18223405745.732094,17709131502.706223,467436204.0,18635907972.232937,18559471083.207302,436267174.62003696
stats.115,4,3415,43927632.0,43927632.0,235218223400.51587,92745724842.21396,88858960849.95554,1205798592.0,95225759431.1896,92002664843.9418,1205798592.0000014
stats.116,4,1601,986987.0,986987.0,22566677842.52933,8891408254.97983,3949992384.0,22489008.0,9103576106.089851,3949992383.999993,22489008.0
stats.119,4,1915,1936953.0,1936953.0,2718890701.704188,1098148657.074386,307600728.0,51456192.0,1134194623.9120278,307600728.0000005,51456191.999999925
stats.120,4,2696,11637523617.0,11637523617.0,42371043860.39823,18068000542.09336,17570057001.088768,12317215141.50679,18123686798.73788,17744767510.35099,12317095803.999971
stats.121,4,1637,1116000.0,1116000.0,399471346.16337246,177817147.78550875,119616571.89290231,22178910.0,178247146.18499598,127165298.89881292,22178910.00000002
stats.122,4,2493,11206879551.0,11206879551.0,39479668186.27116,16803541981.50035,15703822804.095833,11207000515.192951,16850523686.563429,16030194496.539717,11206879551.000025
stats.123,4,2135,154355934.0,154355934.0,2297734922.077465,986966808.035494,550038159.1641126,154355934.00000042,999252687.8845726,591378360.0810633,154355933.99999985
stats.124,4,2630,6351775.0,6351775.0,17521566844.109108,7612762116.613848,5155348294.999921,201988392.0,7628819057.048294,5446063560.101801,201988391.99999952
stats.125,4,2079,56205.0,56205.0,489266983.8990704,215357520.12707815,144335471.16706574,5133396.0,215921823.58887485,151619553.69974175,3747490.224795261
stats.126,4,2611,3136348028.0,3136348028.0,17578840254.85978,7630587163.657157,5159709924.610808,3136415544.109106,7646500021.772566,5451512154.088178,3136348027.999997
